tag,title,brand,link,price,summary,image_url,image_urls,description,warning_description,package_contents_description,ingredients_description,key_features_description,flavors_description,specifications_description,performance_description,disposable_description,why_description,innovation_description,preference_description,enjoyment_description,compatibility_description,coil_description,battery_description,puffs_description,nicotine_description,e_liquid_description,prefilled_description,devices_description,airflow_description,heating_element_description,operation_description,charging_description,screen_description,links_description,colors_description,returns_description,options_description,size_description,pods_description,hardware_description,wattage_description,faqs_description,disposable,rechargeable,battery,mesh,usb,adjustable
horizon-binaries-sv15000,Horizon Binaries SV15000 - 600mAh Rechargeable Disposable Vape,"Horizon Tanks, Starter Kits & Pods",https://perfectvape.com/horizon-binaries-sv15000/,$14.89,"HORIZON BINARIES SV15000 DISPOSABLE VAPE 15,000 PUFFS
Approximate Puffs: ~15,000 Puffs
E-Liquid Capacity: 20ml
Nicotine: 5% | 50mg
Battery: 600mAh USB Type-C Rechargeable
LED E-Juice and Battery Indicator",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2487/8504/horizon-binaries-sv15000__12338.1713328473.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2487/8504/horizon-binaries-sv15000__12338.1713328473.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2487/8503/horizon-binaries-sv15000__57160.1713328473.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2487/8502/horizon-binaries-sv15000__11332.1713328473.jpg?c=2']","HORIZON BINARIES SV15000 DISPOSABLE VAPE 15,000 PUFFS

Approximate Puffs: ~15,000 Puffs
E-Liquid Capacity: 20ml
Nicotine: 5% | 50mg
Battery: 600mAh USB Type-C Rechargeable
LED E-Juice and Battery Indicator
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,
spree-bar-reusable-battery,Spree Bar Reusable Battery,"SPREE BAR Disposable Vapes, Pods, Kits and More",https://perfectvape.com/spree-bar-reusable-battery/,$7.99,"SPREE BAR REUSABLE BATTERY - FLAVOR POD SOLD SEPARATELY
600mAh
USB Type-C Recharge
Includes:
1x Reusable Battery",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2485/8563/spree-bar-spree-bar-reusable-battery__97336.1713328471.jpg?c=2,[],"SPREE BAR REUSABLE BATTERY - FLAVOR POD SOLD SEPARATELY

600mAh
USB Type-C Recharge",,"1x Reusable Battery
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,
spree-bar-6000-flavor-pod,Spree Bar 6000 Flavor Pod,"SPREE BAR Disposable Vapes, Pods, Kits and More",https://perfectvape.com/spree-bar-6000-flavor-pod/,$6.99,"SPREE BAR FLAVOR POD 6000 PUFFS - PMTA EXEMPT - REUSABLE BATTERY SOLD SEPERATELY
Approximate Puffs: ~6000 Puffs
E-Liquid Capacity: 12ml
Nicotine: METATINE: A synthetically derived molecule that is structurally similar to, but chemically different...",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2484/8557/spree-bar-spree-bar-6000-flavor-pod__38164.1713328470.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2484/8557/spree-bar-spree-bar-6000-flavor-pod__38164.1713328470.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2484/8566/spree-bar-spree-bar-6000-flavor-pod__74480.1713328470.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2484/8562/spree-bar-spree-bar-6000-flavor-pod__82217.1713328470.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2484/8555/spree-bar-spree-bar-6000-flavor-pod__95566.1713328470.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2484/8564/spree-bar-spree-bar-6000-flavor-pod__49538.1713328470.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2484/8567/spree-bar-spree-bar-6000-flavor-pod__24428.1713328470.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2484/8556/spree-bar-spree-bar-6000-flavor-pod__91407.1713328470.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2484/8561/spree-bar-spree-bar-6000-flavor-pod__48180.1713328470.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2484/8553/spree-bar-spree-bar-6000-flavor-pod__19381.1713328470.jpg?c=2']","SPREE BAR FLAVOR POD 6000 PUFFS - PMTA EXEMPT - REUSABLE BATTERY SOLD SEPERATELY

Approximate Puffs: ~6000 Puffs
E-Liquid Capacity: 12ml
Nicotine: METATINE: A synthetically derived molecule that is structurally similar to, but chemically different from other vaping alkaloids, Metatine is not made from, and does not contain, nicotine. In its natural state, Metatine is a colorless, odorless, liquid. It is considered an active ingredient and is currently found (only!) in premium SPREE BAR vape devices.",,"1 x Flavor Pod
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
spree-bar-6000-starter-kit,Spree Bar 6000 Starter Kit,"SPREE BAR Disposable Vapes, Pods, Kits and More",https://perfectvape.com/spree-bar-6000-starter-kit/,$10.50,"SPREE BAR DISPOSABLE VAPE STARTER KIT 6000 PUFFS - PMTA EXEMPT
Spree Bar is an innovative pod system that combines award-winning flavors with cutting-edge Metatine™ technology to produce a revolutionary and uniquely satisfying vaping experience...",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2483/8571/spree-bar-spree-bar-6000-starter-kit__22752.1713328468.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2483/8571/spree-bar-spree-bar-6000-starter-kit__22752.1713328468.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2483/8570/spree-bar-spree-bar-6000-starter-kit__16562.1713328468.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2483/8568/spree-bar-spree-bar-6000-starter-kit__54676.1713328468.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2483/8558/spree-bar-spree-bar-6000-starter-kit__80771.1713328468.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2483/8559/spree-bar-spree-bar-6000-starter-kit__86005.1713328468.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2483/8565/spree-bar-spree-bar-6000-starter-kit__30057.1713328468.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2483/8560/spree-bar-spree-bar-6000-starter-kit__21192.1713328468.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2483/8569/spree-bar-spree-bar-6000-starter-kit__13949.1713328468.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2483/8554/spree-bar-spree-bar-6000-starter-kit__54740.1713328468.jpg?c=2']","SPREE BAR DISPOSABLE VAPE STARTER KIT 6000 PUFFS - PMTA EXEMPT

Spree Bar is an innovative pod system that combines award-winning flavors with cutting-edge Metatine™ technology to produce a revolutionary and uniquely satisfying vaping experience. Once you have your battery, Spree Bar pods will save you hundreds of dollars every year!
Approximate Puffs: ~6000 Puffs
E-Liquid Capacity: 12ml
Nicotine: METATINE:
A synthetically derived molecule that is structurally similar to, but chemically different from other vaping alkaloids, Metatine is not made from, and does not contain, nicotine. In its natural state, Metatine is a colorless, odorless, liquid. It is considered an active ingredient and is currently found (only!) in premium SPREE BAR vape devices.
Battery: 600mAh Rechargeable USB Type-C",,"1 x Flavor Pod
1 x Reusable Battery
1 x USB Type-C Cable
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,
happy-ultra-9000,Happy Ultra 9000 Rechargeable Disposable Vape,Happy Stiks Disposable Vapes,https://perfectvape.com/happy-ultra-9000/,$13.95,"HAPPY ULTRA DISPOSABLE VAPE 9000 PUFFS
Approximate Puffs: ~9000 Puffs
E-Liquid Capacity: 18ml
Nicotine: 5% | 50mg
Battery: 580mAh Rechargeable",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2481/8478/happy-stiks-happy-ultra-9000__60158.1713328465.jpg?c=2,[],"HAPPY ULTRA DISPOSABLE VAPE 9000 PUFFS

Approximate Puffs: ~9000 Puffs
E-Liquid Capacity: 18ml
Nicotine: 5% | 50mg
Battery: 580mAh Rechargeable
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,
raz-tn9000,RAZ TN9000,RAZ Disposable Vapes,https://perfectvape.com/raz-tn9000/,$13.70,"RAZ TN9000 DISPOSABLE VAPE 9000 PUFFS
Approximate Puffs: ~9000 Puffs
E-Liquid Capacity: 12ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable USB Type-C
Mega 0.96"" HD Display Screen 
Battery Indicator & E-Liquid Indicator
Vaping...",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2480/8471/raz-tn9000__46610.1713328462.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2480/8471/raz-tn9000__46610.1713328462.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2480/8474/raz-tn9000__19993.1713328462.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2480/8472/raz-tn9000__35871.1713328462.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2480/8473/raz-tn9000__13574.1713328462.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2480/8470/raz-tn9000__07289.1713328462.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2480/8469/raz-tn9000__29307.1713328462.jpg?c=2']","RAZ TN9000 DISPOSABLE VAPE 9000 PUFFS

Approximate Puffs: ~9000 Puffs
E-Liquid Capacity: 12ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable USB Type-C
Mega 0.96"" HD Display Screen
Battery Indicator & E-Liquid Indicator
Vaping Animation
Charging Animation
Adjustable Airflow
Mesh Coil
Short-Circuit Protection
Overcharging Protection
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
hero-vision-7000,Hero Vision 7000 Rechargeable Disposable Vape,HERO Disposable Vapes and E-Liquids,https://perfectvape.com/hero-vision-7000/,$12.99,"HERO VISION DISPOSABLE VAPE 7000 PUFFS
Approximate Puffs: ~7000 Puffs
E-Liquid Capacity: 16ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable
Battery & E-Liquid Indicator",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2475/8621/hero-hero-vision-7000__51884.1713328455.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2475/8621/hero-hero-vision-7000__51884.1713328455.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2475/8401/hero-hero-vision-7000__95284.1713328455.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2475/8403/hero-hero-vision-7000__83708.1713328455.jpg?c=2']","HERO VISION DISPOSABLE VAPE 7000 PUFFS

Approximate Puffs: ~7000 Puffs
E-Liquid Capacity: 16ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable
Battery & E-Liquid Indicator
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,
spaceman-10k-pro,Spaceman 10K Pro,Spaceman Disposable Vapes,https://perfectvape.com/spaceman-10k-pro/,$13.50,"SPACEMAN 10K PRO DISPOSABLE VAPE 10000 PUFFS
Approximate Puffs: ~10,000 Puffs
E-Liquid Capacity: 16ml 
Nicotine: 5% | 50mg
Battery: 800mAh Rechargeable Type-C USB
Mesh Coil 0.7ohm
Adjustable Airflow Switch
E-Liquid & Battery...",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2474/8397/spaceman-10k-pro__68673.1713328452.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2474/8397/spaceman-10k-pro__68673.1713328452.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2474/8400/spaceman-10k-pro__10676.1713328452.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2474/8402/spaceman-10k-pro__80293.1713328452.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2474/8395/spaceman-10k-pro__64709.1713328452.jpg?c=2']","SPACEMAN 10K PRO DISPOSABLE VAPE 10000 PUFFS

Approximate Puffs: ~10,000 Puffs
E-Liquid Capacity: 16ml
Nicotine: 5% | 50mg
Battery: 800mAh Rechargeable Type-C USB
Mesh Coil 0.7ohm
Adjustable Airflow Switch
E-Liquid & Battery Indicator
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
hulk-hogans-hulkamania-hollywood-8000,Hulk Hogan's Hulkamania & Hollywood 8000 Disposable Vape,Hulk Hogan Disposable Vape,https://perfectvape.com/hulk-hogans-hulkamania-hollywood-8000/,$11.89,"HULK HOGAN'S HULKAMANIA & HOLLYWOOD DISPOSABLE VAPE 8000 PUFFS
Approximate Puffs: ~8000 puffs
E-Liquid Capacity: 18ml
Nicotine: 5% | 50mg
Battery: 550mAh Rechargeable Type-C USB
Mesh Coil
Digital & Juice Indicator",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2473/8406/hulk-hogans-hulkamania-and-hollywood-8000__09435.1713328450.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2473/8406/hulk-hogans-hulkamania-and-hollywood-8000__09435.1713328450.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2473/8404/hulk-hogans-hulkamania-and-hollywood-8000__91302.1713328450.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2473/8410/hulk-hogans-hulkamania-and-hollywood-8000__26973.1713328450.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2473/8408/hulk-hogans-hulkamania-and-hollywood-8000__90715.1713328450.jpg?c=2']","HULK HOGAN'S HULKAMANIA & HOLLYWOOD DISPOSABLE VAPE 8000 PUFFS

Approximate Puffs: ~8000 puffs
E-Liquid Capacity: 18ml
Nicotine: 5% | 50mg
Battery: 550mAh Rechargeable Type-C USB
Mesh Coil
Digital & Juice Indicator
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,
snoopy-smoke-extra-tank-2-x-18ml-15000,Snoopy Smoke Extra Tank 2 x 18ml 15000,Snoopy Smoke Vapes,https://perfectvape.com/snoopy-smoke-extra-tank-2-x-18ml-15000/,$13.90,"SNOOPY SMOKE EXTRA TANK 2 X 18ML 150000 PUFFS
Approximate Puffs: ~15,000 Puffs
E-Liquid Capacity: 2 x 18ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable
Mesh Coil
Extra Tank",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2472/8407/snoopy-smoke-snoopy-smok-extra-tank-2-x-18ml-15000__94417.1713328447.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2472/8407/snoopy-smoke-snoopy-smok-extra-tank-2-x-18ml-15000__94417.1713328447.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2472/8396/snoopy-smoke-snoopy-smok-extra-tank-2-x-18ml-15000__46184.1713328447.jpg?c=2']","SNOOPY SMOKE EXTRA TANK 2 X 18ML 150000 PUFFS

Approximate Puffs: ~15,000 Puffs
E-Liquid Capacity: 2 x 18ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable
Mesh Coil
Extra Tank
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,
north-5000,North 5000,North Vape Disposable Vapes,https://perfectvape.com/north-5000/,$11.60,NORTH DISPOSABLE VAPE 5000 PUFFS Approximate Puffs: ~5000 Puffs E-Liquid Capacity: 10ml Nicotine: 5% | 50mg Battery: 550mAh Rechargeable E-Liquid & Battery Indicator Mesh Coil Overcharge Protection,https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2471/8405/north-vape-north-5000__15389.1713328445.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2471/8405/north-vape-north-5000__15389.1713328445.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2471/8409/north-vape-north-5000__36034.1713328445.jpg?c=2']","NORTH DISPOSABLE VAPE 5000 PUFFS

Approximate Puffs: ~5000 Puffs
E-Liquid Capacity: 10ml
Nicotine: 5% | 50mg
Battery: 550mAh Rechargeable
E-Liquid & Battery Indicator
Mesh Coil
Overcharge Protection
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,
swft-icon-7500,SWFT iCON 7500,"SWFT Disposable Vapes, Mods and More",https://perfectvape.com/swft-icon-7500/,$11.90,"SWFT ICON DISPOSABLE VAPE 7500 PUFFS
Approximate Puffs: ~7500 puffs
E-Liquid Capacity: 17ml
Nicotine: 5% | 50mg
Battery: 500mAh Rechargeable USB Type-C",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2470/8596/swft-icon-7500__82664.1713328443.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2470/8596/swft-icon-7500__82664.1713328443.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2470/8593/swft-icon-7500__97477.1713328443.jpg?c=2']","SWFT ICON DISPOSABLE VAPE 7500 PUFFS

Approximate Puffs: ~7500 puffs
E-Liquid Capacity: 17ml
Nicotine: 5% | 50mg
Battery: 500mAh Rechargeable USB Type-C
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,
lost-vape-ob5500,Lost Vape OB5500 Rechargeable Disposable Vape,"Lost Vape Disposables, Vaporizer, Coils and More",https://perfectvape.com/lost-vape-ob5500/,$9.89,"LOST VAPE OB5500 DISPOSABLE VAPE 5500 PUFFS
Approximate Puffs: ~5500 puffs
E-Liquid Capacity: 14ml
Nicotine: 5% | 50mg
Battery: 500mAh Rechargeable USB Type-C
Mesh Coil",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2469/8370/lost-vape-ob5500__97914.1713328441.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2469/8370/lost-vape-ob5500__97914.1713328441.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2469/8368/lost-vape-ob5500__53388.1713328441.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2469/8369/lost-vape-ob5500__12241.1713328441.jpg?c=2']","LOST VAPE OB5500 DISPOSABLE VAPE 5500 PUFFS

Approximate Puffs: ~5500 puffs
E-Liquid Capacity: 14ml
Nicotine: 5% | 50mg
Battery: 500mAh Rechargeable USB Type-C
Mesh Coil
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,
flerbar-8000,FLERBAR 8000 Puffs Rechargeable Disposable Vape,FLERBAR Disposable Vape,https://perfectvape.com/flerbar-8000/,$8.75,"FLERBAR 8000 PUFFS DISPOSABLE VAPE
Approximate Puffs: ~8000 puffs
E-Liquid Capacity: 19ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2468/8362/flerbar-8000__16818.1713328438.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2468/8362/flerbar-8000__16818.1713328438.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2468/8360/flerbar-8000__24768.1713328438.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2468/8363/flerbar-8000__14409.1713328439.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2468/8361/flerbar-8000__79067.1713328439.jpg?c=2']","FLERBAR 8000 PUFFS DISPOSABLE VAPE

Approximate Puffs: ~8000 puffs
E-Liquid Capacity: 19ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,
sigelei-smart-ac10000,Sigelei Smart AC10000,"Sigelei Vape Mods, Kits & More",https://perfectvape.com/sigelei-smart-ac10000/,$12.70,"SIGELEI SMART AC10000 DISPOSABLE VAPE 10000 PUFFS
Approximate Puffs: ~10,000 Puffs 
E-Liquid Capacity: 20ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable USB Type-C
Mesh Coil
Smart Display Screen for battery and e-juice",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2467/8355/sigelei-smart-ac10000__81329.1713328435.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2467/8355/sigelei-smart-ac10000__81329.1713328435.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2467/8348/sigelei-smart-ac10000__73104.1713328435.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2467/8352/sigelei-smart-ac10000__41994.1713328435.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2467/8347/sigelei-smart-ac10000__99689.1713328435.jpg?c=2']","SIGELEI SMART AC10000 DISPOSABLE VAPE 10000 PUFFS

Approximate Puffs: ~10,000 Puffs
E-Liquid Capacity: 20ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable USB Type-C
Mesh Coil
Smart Display Screen for battery and e-juice
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,
snowwolf-easy-smart-ea9000,Snowwolf Easy Smart EA9000,Snowwolf Disposables Vapes,https://perfectvape.com/snowwolf-easy-smart-ea9000/,$11.89,"SNOWWOLF EASY SMART EA9000 DISPOSABLE VAPE 9000 PUFFS
Approximate Puffs: ~9000 puffs
E-Liquid Capacity: 12.5ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable USB Type-C
Smart Screen Display Power & E-Juice
Adjustable Voltage Button
Mesh Coil",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2466/8350/snowwolf-easy-smart-ea9000__94232.1713328433.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2466/8350/snowwolf-easy-smart-ea9000__94232.1713328433.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2466/8349/snowwolf-easy-smart-ea9000__05389.1713328433.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2466/8351/snowwolf-easy-smart-ea9000__31378.1713328433.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2466/8354/snowwolf-easy-smart-ea9000__51823.1713328433.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2466/8353/snowwolf-easy-smart-ea9000__73914.1713328433.jpg?c=2']","SNOWWOLF EASY SMART EA9000 DISPOSABLE VAPE 9000 PUFFS

Approximate Puffs: ~9000 puffs
E-Liquid Capacity: 12.5ml
Nicotine: 5% | 50mg
Battery: 650mAh Rechargeable USB Type-C
Smart Screen Display Power & E-Juice
Adjustable Voltage Button
Mesh Coil
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,
luffbar-tt9000,LUFFBAR TT9000,LUFFBAR Rechargable Disposable Vapes,https://perfectvape.com/luffbar-tt9000/,$12.95,"LUFFBAR TT9000 DIPOSABLE VAPE 9000 PUFFS
Approximate Puffs: ~9000 puffs
E-Liquid Capacity: 18ml
Nicotine: 5% | 50mg
Battery: 550mAh Rechargeable Type-C
Dual Mesh Coil
Digital Battery & E-Liquid Display Screen
BOOST Mode - Activate a stronger...",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2464/8312/luffbar-tt9000__01944.1713328430.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2464/8312/luffbar-tt9000__01944.1713328430.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2464/8311/luffbar-tt9000__23004.1713328430.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2464/8309/luffbar-tt9000__15994.1713328430.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2464/8310/luffbar-tt9000__88426.1713328430.jpg?c=2']","LUFFBAR TT9000 DIPOSABLE VAPE 9000 PUFFS

Approximate Puffs: ~9000 puffs
E-Liquid Capacity: 18ml
Nicotine: 5% | 50mg
Battery: 550mAh Rechargeable Type-C
Dual Mesh Coil
Digital Battery & E-Liquid Display Screen
BOOST Mode - Activate a stronger hit
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,
pillow-talk-8500,Pillow Talk 8500,Pillow Talk Rechargeable Disposable Vapes,https://perfectvape.com/pillow-talk-8500/,$13.94,"PILLOW TALK DISPOSABLE VAPE 8500 PUFFS
Approximate Puffs: ~8500 puffs
E-Liquid Capacity: 13ml
Nicotine: 5% | 50mg
Battery: 550mAh Wireless Charging & USB Type C
Mesh Coil
E-Liquid & Battery Display Screen",https://cdn11.bigcommerce.com/s-nlylv/images/stencil/590x590/products/2463/8300/pillow-talk-8500__11277.1713328426.jpg?c=2,"['https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2463/8300/pillow-talk-8500__11277.1713328426.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2463/8299/pillow-talk-8500__46756.1713328426.jpg?c=2', 'https://cdn11.bigcommerce.com/s-nlylv/images/stencil/400x400/products/2463/8302/pillow-talk-8500__93934.1713328426.jpg?c=2']","PILLOW TALK DISPOSABLE VAPE 8500 PUFFS

Approximate Puffs: ~8500 puffs
E-Liquid Capacity: 13ml
Nicotine: 5% | 50mg
Battery: 550mAh Wireless Charging & USB Type C
Mesh Coil
E-Liquid & Battery Display Screen
View All
Close",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,
