tag,vendor,main_brand,product,product_id,money,disposable,rechargeable,battery,mesh coil,USB,Adjustable Airflow,flavor1,flavor2,flavor3,flavor4,flavor5,% nicotine,puffs,ml,url,description,image_url,image_url_zoom
monster-bars-3500-blueberry-raspberry-lemon,Monster Bars 3500,Monster Bars 3500,Blueberry Raspberry Lemon,6682154238038,$14.99,TRUE,,TRUE,TRUE,,,blueberry,fruit,lemon,mint,raspberry,5%,3500,7,https://getpop.co/products/monster-bars-3500-blueberry-raspberry-lemon,"Up to 3,500 puffs (7ml) Mesh Coil Monster Bars 3500 Blueberry Lemon is easily one of the best flavors in the Monster Bars disposables lineup. We were blown away by this bright and delicious blend of sweet blueberry with citrus lemon. It's not too tangy or sour. Instead this has a fabulous texture and is perfectly balanced between sweet and sour. Monster Bars 3500 is the next generation of ultra-premium disposable devices by Monster Vape Labs, producers of top quality salt nicotine and free base e-liquids. The Monster Bars 3500 disposable device features a mesh coil and silicon tip for excellent flavor. Whether it's fruit, iced, mint, or custard flavors, we highly recommend you try one to experience how good they are. What's included: 1 Monster Bars Ultra Premium disposable device with Mesh Coil 5% salt nicotine Volume: 7ml (up to 3,500 puffs) Battery: 1,200mAh Ingredients: USP Vegetable Glycerin USP Propylene Glycol Natural and Artificial Flavorings USP Nicotine (5%) Made in the USA with foreign ingredients About Monster Bars 3500 Monster Bars 3500 is the new and improved disposable device by Monster Vape Labs. While the original Monster Bars Mesh 2500 was a huge hit with fans, it has been replaced with the Monster Bars 3500, which not only lasts longer than the original, but also features a silicon tip mouthpiece for a better vape experience. We still enjoy a mesh coil for excellent flavors made by Monster. Based in Orlando, FL, Monster Vape Labs pioneered high quality salt nicotine and freebase e-liquids. We are excited to feature some of the best quality disposable devices made by a brand known for producing some of the best flavors in the market. Tap here to check out the official Monster Vape Labs website at https://monstervapelabs.com/ .",http://getpop.co/cdn/shop/products/monster-bars-mesh-3500-blueberry-raspberry-lemon-device_c70969b6-fcc2-4334-94df-7b4a2e047289_1024x1024.jpg?v=1638631297,http://getpop.co/cdn/shop/products/monster-bars-mesh-3500-blueberry-raspberry-lemon-device_c70969b6-fcc2-4334-94df-7b4a2e047289_2048x2048.jpg?v=1638631297
zyn-cinnamon,ZYN,,Cinnamon,6980256202838,$9.99,,,,,,,cinnamon,,,,,15,,,https://getpop.co/products/zyn-cinnamon,"Flavor description coming soon! ZYN is a leading brand of nicotine pouches, known for their quality and long-lasting flavors. Grab a can of 15-pouches today! Product details: 1 can of 15 nicotine pouches Nicotine options: 6mg 3mg",http://getpop.co/cdn/shop/files/zyn-cinnamon-6mg-box_1024x1024.jpg?v=1711724278,http://getpop.co/cdn/shop/files/zyn-cinnamon-6mg-box_2048x2048.jpg?v=1711724278
lost-mary-bm5000-cranberry-soda,Lost Mary BM5000,,Cranberry Soda 3%,6875478458454,$13.99,TRUE,TRUE,TRUE,TRUE,TRUE,,cranberry,lemon,soda,,,3%,5000,12,https://getpop.co/products/lost-mary-bm5000-cranberry-soda,"Up to 5,000 puffs (12ml) Mesh Coil Rechargeable via USB Type-C cable (not included) 3% nicotine (30mg/ml) Click or tap here for USB Type-C cable to recharge your Lost Mary BM5000 rechargeable device. Lost Mary BM3000 Cranberry Soda 3% is a blend of cranberry with lemon and ice. It’s chilled and has a soft sour texture. If you love cranberry lemonade ice, this is a great match for you. Lost Mary BM5000 is a standard device with basic features. It is rechargeable and has a mesh coil. The most distinctive feature is the 3% nicotine concentration, which is a great option if you're looking to cut back. Lost Mary is one of the brands by the team behind Elf Bar, now known as EB Create or EB Design. What's included: 1 Lost Mary BM5000 rechargeable disposable device USB Type-C Cable is not included 3% salt nicotine (30mg/ml) Volume: 12ml (up to 5,000 puffs) 650mAh rechargeable battery Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (3% by volume) About Lost Mary BM5000 Lost Mary BM5000 is a low-nicotine option from Lost Mary. Ths is a fairly standard device, featuring a mesh coil and rechargeable device. Lost Mary is a brand from the team behind the original Elf Bar BC5000, also known as EB Design and EB Create. If you're looking for a low-nicotine option, this is a great match for you!",http://getpop.co/cdn/shop/products/lost-mary-bm5000-cranberry-soda-device_1024x1024.jpg?v=1696964205,http://getpop.co/cdn/shop/products/lost-mary-bm5000-cranberry-soda-device_2048x2048.jpg?v=1696964205
pop-hit-bar-4000-banana-ice,Pop HIT Bar 4000,Pop HIT Bar 4000,Banana Ice,6790867681366,$11.99,TRUE,,,TRUE,,,banana,,,,,5%,4000,12,https://getpop.co/products/pop-hit-bar-4000-banana-ice,"Up to 4,000 puffs (12ml) Mesh Coil Pop HIT Bar 4000 Banana Ice flavor description coming soon! What's included: 1 Pop HIT Bar 4000 with Mesh Coil disposable device 5% salt nicotine Volume: 12ml (up to 4,000 puffs) Ingredients: USP Propylene Glycol USP Vegetable Glycerin USP Salt Tobacco-Free Nicotine Natural & Artificial Flavors Designed in California, Made in China About Pop HIT Bar 4000 Pop HIT Bar 4000 Mesh is the new Pop Bar with a mesh coil for up to 4000 puffs by Pop Vapor, the team behind Pop Bar, Pop Extra, Pop Pro, and Pop Lite disposable devices. Tap or click here to check out the official Pop Vapor website at https://popvapor.com/ .",http://getpop.co/cdn/shop/products/pop-hit-bar-4000-banana-ice_2_1024x1024.jpg?v=1664988897,http://getpop.co/cdn/shop/products/pop-hit-bar-4000-banana-ice_2_2048x2048.jpg?v=1664988897
kado-bar-kb10000-brain-freeze-1,Kado Bar KB10000,,Brain Freeze,6920676114518,$14.99,,TRUE,TRUE,TRUE,TRUE,,,,,,,5%,,18,https://getpop.co/products/kado-bar-kb10000-brain-freeze-1,"Up to 10,000 puffs (18ml) Smart LED Display Mesh Coil Rechargeable via USB Type-C cable (included) USB Type-C Charging Cable is included Flavor description coming soon! Kado Bar KB10000 is the latest from Kado, featuring a mesh coil for equisite flavor and rechargeable battery. What's included: 1 Kado Bar KB10000 rechargeable device USB Type-C Cable is included 5% salt nicotine Volume: 18ml (up to 10,000 puffs) Battery Capacity: 650mAh Mesh Coil Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) Tap here to learn more about Kado Bar KB10000 by visiting the official Kado Bar website at https://kadobar.com/kb1000 .",http://getpop.co/cdn/shop/products/kado-bar-kb10000-brain-freeze-device_1024x1024.jpg?v=1704237648,http://getpop.co/cdn/shop/products/kado-bar-kb10000-brain-freeze-device_2048x2048.jpg?v=1704237648
pop-hit-solo-5500-chilled-watermelon,Pop HIT Solo 5500,Pop HIT Solo 5500,Chilled Watermelon,6801225842774,$12.99,TRUE,TRUE,,TRUE,TRUE,,watermelon,,,,,5%,5500,14,https://getpop.co/products/pop-hit-solo-5500-chilled-watermelon,"Up to 5,500 puffs (14ml) Rechargeable via USB Type-C cable (included) USB Type-C Charging Cable is included Flavor description coming soon! What's included: 1 Pop HIT Solo rechargeable disposable device USB Type-C Cable is included 5% salt nicotine Volume: 14ml (up to 5,500 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) About Pop HIT Solo 5000 Pop HIT Solo is one of the best devices by Pop Vapor, featuring a mesh coil for incredible flavor and good for up to 5,500 puffs Tap here to check out the Pop Vapor website at https://popvapor.com/ .",http://getpop.co/cdn/shop/products/pop-hit-solo-5500-chilled-watermelon_2_1024x1024.jpg?v=1664989862,http://getpop.co/cdn/shop/products/pop-hit-solo-5500-chilled-watermelon_2_2048x2048.jpg?v=1664989862
hyde-pod-juice-salt-blue-razz-freeze,Hyde x Pod Juice Salt,Hyde,Blue Razz Freeze,6784746291286,$14.99,TRUE,,,,,,,,,,,,,30,https://getpop.co/products/hyde-pod-juice-salt-blue-razz-freeze,"Salt Nicotine e-liquid Use with refillable pod system. Flavor description coming soon! Hyde and Pod Juice teamed up for a line of salt nicotine e-liquids. Enjoy amazing flavors designed by Hyde in collaboration with Pod Juice. This is a terrific option if you are already familiar with devices and you would like to switch to a more economical and eco-friendly alternativeSimply pair a bottle of salt-nicotine e-liquid with a refillable pod system. This method also provides low-nicotine options and has a significantly lower impact on the environment. Product details: Volume: 30ml Nicotine options: 3.5% (35mg/ml) 5.5% (55mg/ml) About Hyde x Pod Juice Salt Hyde x Pod Juice Salt is the result of a collab between Hyde and Pod Juice, the leading brands in disposable devices and e-liquids. If you love Hyde disposable devices, enjoy these top quality salt nicotine e-liquids to replicate the disposable experience in a refillable pod system. Tap here to check out the Pod Juice website at https://podjuice55.com/",http://getpop.co/cdn/shop/products/hyde-pod-juice-salt-blue-razz-freeze_1_1024x1024.jpg?v=1660236044,http://getpop.co/cdn/shop/products/hyde-pod-juice-salt-blue-razz-freeze_1_2048x2048.jpg?v=1660236044
air-bar-atron-5000-coffee,Air Bar ATRON 5000,,Coffee,6871775543382,$9.99,TRUE,TRUE,TRUE,TRUE,TRUE,,coffee,honey,,,,5%,5000,10,https://getpop.co/products/air-bar-atron-5000-coffee,"Up to 5,000 puffs (10ml) Mesh Coil Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your Air Bar ATRON 5000 rechargeable device. Flavor description coming soon! Every Air Bar ATRON 5000 features a mesh coil and rechargeable battery. It also has indicator lights for both battery and e-liquid, so that we're never caught off-guard. While the original Air Bar Diamond, Air Bar Box and Air Bar Lux continue to have dedicated fans, the Air Bar NEX and Air Bar ATRON signify Air Bar's commitment to make quality flavors delivered by quality devices. What's included: 1 Air Bar ATRON 5000 rechargeable device 5% salt nicotine Volume: 10ml (up to 5,000 puffs) Rechargeable Battery: 650mAh Ingredients: Vegetable Glycerin Propylene Glycol Nicotine Natural & Artificial Flavors About Air Bar ATRON 5000 Air Bar ATRON 5000 is nestled between the Air Bar Box and Air Bar NEX, in terms of capacity. The Air Bar NEX shines in terms of quality, so the Air Bar ATRON belongs in a similar category. Every ATRON features a BPC mesh coil, which is a proprietary coil developed by Air Bar. BPC stands for Boost, Pure, and Clean. This BPC coil has a unique and innovative honeycomb structure, designed to provide enhanced flavors and a smooth and reliable experience. Air Bar ATRON is made by Goldreams, based in China. Every Air Bar Box disposable is QR-code verifiable for authenticity. Tap here to check out the official Air Bar website at https://www.airbar.com/ .",http://getpop.co/cdn/shop/products/air-bar-atron-5000-coffee-device_1024x1024.jpg?v=1696964483,http://getpop.co/cdn/shop/products/air-bar-atron-5000-coffee-device_2048x2048.jpg?v=1696964483
fume-infinity-desert-breeze,Fume Infinity 3500,Fume Infinity 3500,Desert Breeze,6766899298390,$15.99,TRUE,,TRUE,,,,blueberry,fruit,mint,,,5%,3500,12,https://getpop.co/products/fume-infinity-desert-breeze,"Up to 3,500 puffs (12ml) Fume Infinity Desert Breeze is a cool aloe vera flavor, lightly sweetened with blueberry and a touch of mint. The fruit and mint here are barely noticeable and serve to add some texture to the aloe. This is a match if you like a clean cool flavor that’s not fruity or minty. The Fume Infinity disposable device features a new design that is compact, robust, and delivers incredible flavor. Featuring 12ml of e-liquid and good for up to 3,500 puffs, the Fume Infinity is the longest lasting device that enhances the flavors that has made Fume wildly popular. What's included: 1 Fume Infinity disposable device 5% salt nicotine Volume: 12ml (up to 3,500 puffs) Battery: 1500 mAh Ingredients: Vegetable Glycerin Propylene Glycol Nicotine (5.0%) Natural & Artificial Flavors Designed in USA Made in China About Fume Infinity Fume Infinity features a new design that's sleek and compact. The Fume Inifinity is sleek, compact, and feels good to to the touch. Featuring 12ml of e-liquid and good for up to 3,500 puffs, the Fume Infinity is the longest lasting device by Fume to date. We love the shape and performance, which delivers the same flavors that has made Fume a huge success. Tap here to check out the Fume website at https://officialfume.com/ .",http://getpop.co/cdn/shop/products/fume-infinity-desert-breeze-device_1024x1024.jpg?v=1659555105,http://getpop.co/cdn/shop/products/fume-infinity-desert-breeze-device_2048x2048.jpg?v=1659555105
qit-bubble-gum,QIT,,Bubble Gum,6980246110294,$5.99,,,,,,,bubble gum,,,,,20,,,https://getpop.co/products/qit-bubble-gum,Flavor description coming soon! QIT is a new brand of nicotine pouches in vibrant flavors that last. Product details: 1 can of 20 nicotine pouches Nicotine options: 15mg 6mg 3mg,http://getpop.co/cdn/shop/files/qit-bubble-gum-15mg_1024x1024.jpg?v=1710430290,http://getpop.co/cdn/shop/files/qit-bubble-gum-15mg_2048x2048.jpg?v=1710430290
geek-bar-meloso-max-9000-clear,Geek Bar Meloso Max 9000,,Clear,6864911827030,$13.99,,TRUE,TRUE,TRUE,TRUE,TRUE,mint,,,,,5%,9000,14,https://getpop.co/products/geek-bar-meloso-max-9000-clear,"Up to 9,000 puffs (14ml) Adjustable Airflow Mesh Coil Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your Geek Bar Meloso Max 9000 rechargeable device. Geek Bar Meloso Max Clear has a cold and fresh flavor. Like most Clear flavors, this one has a streak of mint. It’s very cold and incredibly good, so try one for yourself! Geek Bar Meloso Max 9000 is an upgrade from the Geek Bar B5000 in both volume and quality. Not only does every Geek Bar Meloso Max 9000 feature 14ml of e-liquid, good for up to 9,000 puffs, it also has a dual mesh coil, which enhances and extends the quality of the flavor. E-Liquid and Battery levels are easy to track, thanks to LCD indicator lights. What's included: 1 Geek Bar Meloso Max 9000 rechargeable device USB Type-C Cable is not included 5% salt nicotine Volume: 14ml (up to 9,000 puffs) Battery Capacity: 600mAh Dual Mesh Coil Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) About Geek Bar Meloso Max 9000 Geek Bar Meloso Max 9000 by Geek Bar is the most advanced and longest-lasting device. The Meloso Max is all about quality thanks to a dual mesh coil. It's also about convenience, with LED indicator lights to easily track the remaining battery and e-liquid levels. Step up to the best that Geek Bar has to offer with the Geek Bar Meloso Max 9000 Tap here to learn more about Geek Bar Meloso Max 9000 by visitng the official Geek Bar website at http://www.geekbar.com/ .",http://getpop.co/cdn/shop/products/geek-bar-meloso-max-9000-clear-device_1024x1024.jpg?v=1689712260,http://getpop.co/cdn/shop/products/geek-bar-meloso-max-9000-clear-device_2048x2048.jpg?v=1689712260
block-6000-cranberry-grape,Block 6000,Block 6000,Cranberry Grape,6843157545046,$7.99,,TRUE,,TRUE,TRUE,,cranberry,grape,,,,5%,6000,12,https://getpop.co/products/block-6000-cranberry-grape,"Up to 6,000 puffs (12ml) Mesh Coil Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your Block 6000 rechargeable device. Block 6000 Cranberry Grape has that sweet and tart mix of cranberry with grape. It’s chilled, so it tastes like a cranberry grape cocktail. It’s actually really good, especially if you like grape ice spiked with cranberry. Block 6000 is made by Block, which has no affiliation with Elf Bar. Even so, the Block 6000 delivers incredible flavor in a long-lasting rechargeable device. What's included: 1 Block 6000 rechargeable device, in Limited Edition or Elf Edition USB Type-C Cable is not included 5% salt nicotine Volume: 12ml (up to 6,000 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume)",http://getpop.co/cdn/shop/products/block-6000-cranberry-grape-device_1024x1024.jpg?v=1685131071,http://getpop.co/cdn/shop/products/block-6000-cranberry-grape-device_2048x2048.jpg?v=1685131071
lost-mary-mo5000-berry-cake,Lost Mary MO5000,Lost Mary MO5000,Berry Cake,7133704683606,$15.99,,TRUE,TRUE,TRUE,TRUE,,berry,cake,,,,5%,5000,5,https://getpop.co/products/lost-mary-mo5000-berry-cake,"Up to 5,000 puffs (13.5ml) Mesh Coil Rechargeable via USB Type-C cable (not included) Flavor description coming soon! This flavor is part of the Lost Mary MO5000 Glitter Edition. Lost Mary burst onto the scene with the OS5000 device and has followed up with the Lost Mary MO5000, which features a rechargeable battery, mesh coil, and 13.5ml of e-liquid. The result is a stellar device, good for up to 5,000 puffs, in a wide range of flavors. What's included: 1 Lost Mary MO5000 rechargeable device with Mesh Coil USB Type-C Cable is not included 5% salt nicotine Volume: 13.5ml (up to 5,000 puffs) Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume)",http://getpop.co/cdn/shop/files/lost-mary-mo5000-berry-cake-device_1024x1024.jpg?v=1719362819,http://getpop.co/cdn/shop/files/lost-mary-mo5000-berry-cake-device_2048x2048.jpg?v=1719362819
packspod-5000-blow-pop,PacksPod 5000,,Blow Pop,6863699804246,$9.99,,TRUE,TRUE,,TRUE,,,,,,,5%,5000,12,https://getpop.co/products/packspod-5000-blow-pop,"Up to 5,000 puffs (12ml) Rechargeable via USB Type-C cable (not included) Click or tap here for USB Type-C cable to recharge your PacksPod 5000 rechargeable device. Flavor description coming soon! Every Packspod 5000 features up to 5000 puffs and a rechargeable battery. There's only one reason for you to try a PacksPod: the flavor. We're blown away by the variety, quality, and unique set of flavors by PacksPod, brought by the team from Packwoods! What's included: 1 PacksPod 5000 rechargeable device 5% salt nicotine Volume: 12ml (5,000 puffs) Battery Capacity: 1400mAh Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine About PacksPod 5000 PacksPod 5000 is brought to you by the team from Packwoods. Tap here to check out the Packwoods website at https://www.packwoods.com/ .",http://getpop.co/cdn/shop/products/packspod-5000-blow-pop-device_1024x1024.jpg?v=1696964653,http://getpop.co/cdn/shop/products/packspod-5000-blow-pop-device_2048x2048.jpg?v=1696964653
tyson-2-0-heavy-weight-7000-blue-razz,Tyson 2.0 Heavy Weight 7000,,Blue Razz,6863524397142,$11.99,TRUE,TRUE,TRUE,,TRUE,,blue raspberry,,,,,5%,7000,15,https://getpop.co/products/tyson-2-0-heavy-weight-7000-blue-razz,"Up to 7,000 puffs (18ml) Rechargeable via USB Type-C cable (included) USB Type-C Charging Cable is included Tyson 2.0 Heavy Weight Blue Razz is a lightly chilled blue raspberry flavor. It’s cold, sweet, and spot on. What's included: 1 Tyson 2.0 Heavy Weight 7000 rechargeable disposable device Micro USB Cable is included 5% salt nicotine Volume: 15ml (7,000 puffs) Battery Capacity: 550mAh Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine",http://getpop.co/cdn/shop/products/tyson-2.0-heavy-weight-7000-blue-razz-box_1024x1024.jpg?v=1689780622,http://getpop.co/cdn/shop/products/tyson-2.0-heavy-weight-7000-blue-razz-box_2048x2048.jpg?v=1689780622
hqd-cuvie-plus-2-0-beach-day,HQD Cuvie Plus 2.0,HQD Cuvie Plus,Beach Day,6922415374422,$15.99,,TRUE,TRUE,,TRUE,,,,,,,5%,9000,18,https://getpop.co/products/hqd-cuvie-plus-2-0-beach-day,"Up to 9,000 puffs (18ml) LED Display Rechargeable via USB Type-C cable (included) Flavor description coming soon! HQD Cuvie Plus 2.0 is a welcome upgrade to the original and wildly popular Cuvie Plus. The Cuvie Plus 2.0 is good for up to 9,000 puffs, thanks to 18ml of e-liquid and a rechargeable battery. An LED display makes it easy to monitor battery and e-liquid levels. What's included: 1 HQD Cuvie Plus 2.0 rechargeable device USB Type-C Cable is included 5% salt nicotine Volume: 18ml (up to 9,000 puffs) Rechargeable Battery: 600mAh Ingredients: Vegetable Glycerin Propylene Glycol Nicotine (5.0%) Natural & Artificial Flavors Click or tap here to check out the HQD website at https://www.hqdtech.com/ .",http://getpop.co/cdn/shop/products/hqd-cuvie-plus-2-0-beach-day-box_1024x1024.jpg?v=1704254669,http://getpop.co/cdn/shop/products/hqd-cuvie-plus-2-0-beach-day-box_2048x2048.jpg?v=1704254669
air-bar-diamond-500-cactus-lime-1,Air Bar Diamond 500,Air Bar Diamond 500,Cactus Lime,6984018100310,$7.99,TRUE,,TRUE,,,,lime,,,,,5%,500,8,https://getpop.co/products/air-bar-diamond-500-cactus-lime-1,"Up to 500 puffs (1.8ml) Flavor description coming soon!. Air Bar Diamond is a legacy device, one of the original products by Air Bar that pre-dates the Air Bar Lux. Fans are devoted to the Air Bar Diamond for the quality of flavor and reliability. If you like a classic product that just works this is a terrific match for you! What's included: 1 Air Bar Diamond 5% salt nicotine Volume: 1.8ml (up to 500 puffs) Battery: 380mAh Ingredients: Vegetable Glycerin Propylene Glycol Nicotine Natural & Artificial Flavors About Air Bar Diamond Air Bar Diamond is a classic disposable device that has a loyal and dedicated following because of its reliability and simplicity. This is the original device that put Air Bar on the map, so if you are looking for a simple and compact device that is reliable, we recommend you give this a try. Air Bar Box is made by Goldreams, based in China. Every Air Bar Box disposable is QR-code verifiable for authenticity. Tap here to check out the Goldreams website at https://www.airbar.com/ .",http://getpop.co/cdn/shop/files/air-bar-diamond-500-cactus-lime-box_1024x1024.jpg?v=1711737874,http://getpop.co/cdn/shop/files/air-bar-diamond-500-cactus-lime-box_2048x2048.jpg?v=1711737874
air-bar-box-3000-by-nkd100-cherry-kiwi,Air Bar Box 3000 by NKD100,Air Bar Box 3000,Cherry Kiwi,6858972659798,$9.99,TRUE,,TRUE,,,,cherry,kiwi,strawberry,,,5%,3000,10,https://getpop.co/products/air-bar-box-3000-by-nkd100-cherry-kiwi,"Up to 3,000 puffs (10ml) E-Liquid by NKD100 Air Bar Box Cherry Kiwi is an extra sweet and lightly chilled blend of cherry and kiwi. The cherry is bold and tangy, while the kiwi adds depth and texture. It’s an interesting alternative to strawberry kiwi, so we invite you to give one a try! Air Bar Box delivers the same spectacular flavors made popular by Air Bar in a compact and sleek device that delivers up to 3,000 puffs from 10ml of e-liquid. This flavor is the result of a collaboration between Air Bar and NKD100. What's included: 1 Air Bar Box disposable device 5% salt nicotine Volume: 10ml (up to 3,000 puffs) Battery: 1,500mAh Ingredients: Vegetable Glycerin Propylene Glycol Nicotine Natural & Artificial Flavors E-Liquid origin: China Device origin: China About Air Bar Box 3000 Air Bar Box is a terrific addition to the line of disposables by Air Bar. We love the compact design and improved performance that provide incredible flavor that has made Air Bar a huge hit. The AirBar Box features 10ml of e-liquid, good for up to 3,000 puffs, and is the longest lasting disposable by Air Bar at the time of its release. Air Bar Box is made by Goldreams, based in China. Every Air Bar Box disposable is QR-code verifiable for authenticity. Tap here to check out the Goldreams website at https://www.airbar.com/ .",http://getpop.co/cdn/shop/products/air-bar-box-3000-by-nkd100-cherry-kiwi-device_1024x1024.jpg?v=1685130335,http://getpop.co/cdn/shop/products/air-bar-box-3000-by-nkd100-cherry-kiwi-device_2048x2048.jpg?v=1685130335
smok-spaceman-prism-20k-berry-cake,SMOK Spaceman Prism 20K,SMOK,Berry Cake,7152526032982,$15.99,,TRUE,TRUE,TRUE,TRUE,,berry,cake,,,,5%,,18,https://getpop.co/products/smok-spaceman-prism-20k-berry-cake,"Up to 20,000 puffs (18ml) Mesh Coil Smart LED Display Rechargeable via USB Type-C cable (not included) Flavor description coming soon! SMOK Spaceman Prism 20K features a large screen animation display with e-liquid and battery indicators. Every Spaceman Prism offers 3 settings (Soft, Norm, and Boost) so that you can customize the intensity of your vape experience. What's included: 1 SMOK Spaceman Prism 20K rechargeable device 5% salt nicotine Volume: 18ml (up to 20,000 puffs) Rechargeable Battery: 1,000mAh 3 power modes: Soft (15 watts) Normal (18 watts) Boost (20 watts) Ingredients: Vegetable Glycerin Propylene Glycol Nicotine Natural and Artificial Flavors",http://getpop.co/cdn/shop/files/smok-spaceman-prism-20k-berry-cake-device_1024x1024.jpg?v=1717113584,http://getpop.co/cdn/shop/files/smok-spaceman-prism-20k-berry-cake-device_2048x2048.jpg?v=1717113584
air-bar-ab5000-black-ice-1,Air Bar AB5000,,Black Ice,6894613659734,$9.99,TRUE,TRUE,TRUE,,,,,,,,,5%,5000,10,https://getpop.co/products/air-bar-ab5000-black-ice-1,"Up to 5,000 puffs (10ml) Flavor description coming soon! Air Bar AB5000 is designed for simplicity. There are no advanced features here, just a traditional vape device that provides incredible flavor with a reliable device. Every AB5000 is packed with a 1500mAh battery, so it's built to last more than twice as long as a standard rechargeable. There's no need to reach for a charging cable with the Air Bar AB5000. What's included: 1 Air Bar AB5000 device (non-rechargeable) 5% salt nicotine Volume: 10ml (up to 5,000 puffs) Rechargeable Battery: 1500mAh Ingredients: Vegetable Glycerin Propylene Glycol Nicotine Natural & Artificial Flavors About Air Bar AB5000 Air Bar went back to its roots with the Air Bar AB5000. Rather than add fancy features, the AB5000 is stripped down to focus on just providing incredible flavor in a device that is reliable and long-lasting without the need to recharge it. This is the best fit if you loved the original Air Bar Box 3000. Air Bar AB5000 is made by Goldreams, based in China. Every Air Bar Box disposable is QR-code verifiable for authenticity. Tap here to check out the official Air Bar website at https://www.airbar.com/ .",http://getpop.co/cdn/shop/products/air-bar-ab5000-black-ice-device_1024x1024.jpg?v=1704120364,http://getpop.co/cdn/shop/products/air-bar-ab5000-black-ice-device_2048x2048.jpg?v=1704120364
geek-bar-pulse-15000-berry-bliss-1,Geek Bar Pulse 15000,,Berry Bliss (Cancer),6969180094550,$15.99,,TRUE,TRUE,TRUE,TRUE,TRUE,berry,,,,,5%,5000,16,https://getpop.co/products/geek-bar-pulse-15000-berry-bliss-1,"Up to 15,000 puffs (16ml) Adjustable Airflow Dual Mesh Coil Smart LED Screen Rechargeable via USB Type-C cable (not included) Geek Bar Pulse Berry Bliss (Cancer) has a sweet kick to a chilled mixed berry. If you love triple berry ice, or berry cool, you’ll love Berry Bliss! Geek Bar Pulse features leading edge technology in every way. Every Geek Bar Pulse features Pulse Mode, which opens up the airflow for a dense vapor. If you prefer the standard vape experience for longer life, simply toggle the Pulse switch to 'Close'. The dual-mesh coil ensures best-in-class flavor and a large LED display makes it easy to track battery and e-liquid levels. Every Geek Bar Pulse is good for up to 15,000 puffs in Regular Mode and 7,500 puffs in Pulse Mode. What's included: 1 Geek Bar Pulse rechargeable device USB Type-C Cable is not included 5% salt nicotine Volume: 16ml (up to 15,000 puffs) Battery Capacity: 650mAh Dual Mesh Coil Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume) Tap here to learn more about Geek Bar Pulse by visitng the official Geek Bar website at http://www.geekbar.com/ .",http://getpop.co/cdn/shop/files/geek-bar-pulse-15000-berry-bliss-device_1024x1024.jpg?v=1711737993,http://getpop.co/cdn/shop/files/geek-bar-pulse-15000-berry-bliss-device_2048x2048.jpg?v=1711737993
kado-bar-kb10000-frozen-red-apple,Kado Bar KB10000,,Frozen Red Apple,7063441735766,$14.99,,TRUE,TRUE,TRUE,TRUE,,apple,,,,,5%,,18,https://getpop.co/products/kado-bar-kb10000-frozen-red-apple,"Up to 10,000 puffs (18ml) Smart LED Display Mesh Coil Rechargeable via USB Type-C cable (included) USB Type-C Charging Cable is included Kado Bar KB10000 Frozen Red Apple features a flavor of sweet chilled, and crisp fuji red apple. It’s a solid apple ice that’s also a great match if you love apple juice flavor. This flavor is part of the Kado Bar KB1000 Black Edition with all the same features and specifications of the original Kado Bar KB10000: mesh coil, rechargeable battery, and LCD display with battery and e-liquid indicators. What's included: 1 Kado Bar KB10000 Black Edition rechargeable device USB Type-C Cable is included 5% salt nicotine Volume: 18ml (up to 10,000 puffs) Battery Capacity: 650mAh Mesh Coil Ingredients: Vegetable Glycerin Propylene Glycol Natural & Artificial Flavors Nicotine (5% by volume)",http://getpop.co/cdn/shop/files/kado-bar-kb10000-frozen-red-apple-device_1024x1024.jpg?v=1714420115,http://getpop.co/cdn/shop/files/kado-bar-kb10000-frozen-red-apple-device_2048x2048.jpg?v=1714420115
kado-bar-pouches-aloe-mango-mint,Kado Bar Pouches,,Aloe Mango Mint,6977792278614,$5.99,,,,,,,mango,mint,,,,20,,,https://getpop.co/products/kado-bar-pouches-aloe-mango-mint,Flavor description coming soon! Enjoy the same amazing flavors by Kado Bar in a nicotine pouch. Product details: 1 can of 20 nicotine pouches Nicotine options: 12mg 6mg 3mg,http://getpop.co/cdn/shop/files/kado-bar-pouches-aloe-mango-mint-12mg_1024x1024.jpg?v=1711383839,http://getpop.co/cdn/shop/files/kado-bar-pouches-aloe-mango-mint-12mg_2048x2048.jpg?v=1711383839
