Unnamed: 0,Brand,Product,SkuNumber,Price,Description,E-liquid contents,Puffs per Device,Flavor,Coil,Name Change,Master Case Qty,Vibration Notifications,Display,Display_Description,Nicotine_Levels,Power_Modes,Dual_Tank,Adjustable_Airflow,Battery_Type,Power_Mode,Internal_Features,External_Features,Country_of_Assembly,Nic_level_1,Nic_level_2,Nic_level_3,Iced_Variable,Nic_Free,TFN,Product_Type
123,VaporLax,Paradise BOBO Vape,51562,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nA tropical punch mix of strawberry, pineapple, and coconut.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB \n\n\nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/paradise-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_paradise_device_1024x1024.png?v=1643234317"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_paradise_device_1024x1024.png?v=1643234317"", ""name"": ""Paradise BOBO Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
124,VaporLax,Watermelon Splash BOBO Vape,51571,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nAn explosion of sweet and refreshing watermelons in every puff.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/watermelon-splash-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_watermelon-splash_device_1024x1024.png?v=1643234372"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_watermelon-splash_device_1024x1024.png?v=1643234372"", ""name"": ""BOBO Watermelon Splash Vape"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
125,VaporLax,Maui Sunrise BOBO Vape,51563,$13.99 ,"\n\nDISPOSABLE VAPE PENS FROM BOBO\nSweet pineapple blended with orange and tangerine.\n\n\n\nE-Liquid Contents: 14ml\n\nNicotine Level: 50mg\n\nPuff Count: +6000\nReady-to-Vape\n\nRechargeable with Micro-USB\n\n\nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - BOBO"", ""url"": ""https://mipod.com/products/maui-sunrise-bobo-vape"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/bobo_maui-sunrise_device_1024x1024.png?v=1643234289"", ""image"": ""https://mipod.com/cdn/shop/products/bobo_maui-sunrise_device_1024x1024.png?v=1643234289"", ""name"": ""Maui Sunrise BOBO Disposable Vape Flavor"", ""width"": 1024, ""height"": 1024 } }",14.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
126,Kangvape,Creamy Float Kangvape Onee Stick,52943,$10.99 ,\n\nThe,,,,,,,,False,,UNKNOWN,,False,False,,,,,,,,,False,0,0,Unknown
127,Kangvape,Tuity Fruity Kangvape Onee Stick,52952,$10.99 ,"\n\n\n \n The Tuity Fruity Onee Stick was formerly known as Mixed Fruit. This Kangvape flavor mixes apple, berry and other fruit flavors into one flavorful vape. The Tuity Fruity vape contains 7.5ml of nic salt vape juice and has a 50mg (5%) nicotine strength.\n \n \n \n E-Liquid Contents: 7.5mL\n \n Nicotine Level: 50mg\n \n Puff Count: +2000\n \n \n Browse more disposable vape flavors\n\n\n"", ""category"": ""Disposables - Onee Stick"", ""url"": ""https://mipod.com/products/tuity-fruity-kangvape-onee-stick"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/new-kv-onee_tuity-fruity_1024x1024.png?v=1670967428"", ""image"": ""https://mipod.com/cdn/shop/products/new-kv-onee_tuity-fruity_1024x1024.png?v=1670967428"", ""name"": ""Kangvape Onee Stick Tuity Fruity"", ""width"": 1024, ""height"": 1024 } }",7.5 mL,,,,,,,False,,5 PERCENT,,False,False,,,,,,,,,False,0,0,Disposable System
128,VaporLax,Tobacco by VaporLax,52829,$14.99 ,"\n\nDISPOSABLE VAPE PEN\n\nTobacco by Vaporlax provides a bold tobacco flavor that lacks sweetness and mimics a traditional cigarette taste.\n\n\n\nE-Liquid Contents: 6.5mL\n\nNicotine Level: 50mg\n\nPuff Count: +3000\nReady-to-Vape\n\n\nBrowse more disposable vape flavors\n\n"", ""category"": ""Disposables - Mesh 3000"", ""url"": ""https://mipod.com/products/tobacco-by-vaporlax"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/Tobacco_ce5850ef-6994-4913-8253-e83173441158_1024x1024.png?v=1672437747"", ""image"": ""https://mipod.com/cdn/shop/products/Tobacco_ce5850ef-6994-4913-8253-e83173441158_1024x1024.png?v=1672437747"", ""name"": ""Tobacco Disposable Vape by VaporLax"", ""width"": 1024, ""height"": 1024 } }",6.5 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Disposable System
129,Cloud Nurdz,Iced Sour Watermelon Strawberry Cloud Nurdz 3500,53037,$10.99 ,\n\nDISPOSABLE VAPORIZER\n\n\nFlavor: The,,,,,,,,False,,UNKNOWN,,False,False,,,,,,,,,True,0,0,Unknown
130,Cloud Nurdz,Iced Watermelon Berry Cloud Nurdz 3500,53036,$10.99 ,"\n\n\n DISPOSABLE VAPORIZER\n \n \n Flavor: The Iced Watermelon Berry Cloud Nurdz disposable provides a luscious mix of ripe watermelon and sweet berry with a blast of cool mint. The long-lasting Cloud Nurdz disposables are rechargeable via USB-C charging cable.\n \n E-liquid contents: 10mL\n \n Nicotine Level: 50mg\n \n Puffs per Device: +3000\n \n Battery Capacity: 600mAh, Rechargeable via USB-C\n \n\n\nBrowse more disposable vape flavors\n\n"", ""category"": ""Disposables - Cloud Nurdz"", ""url"": ""https://mipod.com/products/iced-watermelon-berry-cloud-nurdz-3500"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-watermelon-berry_1024x1024.png?v=1672871676"", ""image"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-watermelon-berry_1024x1024.png?v=1672871676"", ""name"": ""Iced Watermelon Berry Cloud Nurdz Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",10.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Closed System
131,Cloud Nurdz,Iced Blue Raspberry Lemon Cloud Nurdz 3500,53035,$10.99 ,\n\n\n DISPOSABLE VAPORIZER\n \n \n Flavor: The,,,,,,,,False,,UNKNOWN,,False,False,,,,,,,,,True,0,0,Disposable System
132,Cloud Nurdz,Iced Strawberry Mango Cloud Nurdz 3500,53034,$10.99 ,"\n\n\n DISPOSABLE VAPORIZER\n \n \n Flavor: The Iced Strawberry Mango disposable vape from Cloud Nurdz blends a fruity punch of fresh strawberry and smooth mango with a wintry ice on exhale.\n \n E-liquid contents: 10mL\n \n Nicotine Level: 50mg\n \n Puffs per Device: +3000\n \n Battery Capacity: 600mAh, Rechargeable via USB-C\n \n\n\nBrowse more disposable vape flavors\n\n"", ""category"": ""Disposables - Cloud Nurdz"", ""url"": ""https://mipod.com/products/iced-strawberry-mango-cloud-nurdz-3500"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-strawberry-mango_1024x1024.png?v=1672871657"", ""image"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-strawberry-mango_1024x1024.png?v=1672871657"", ""name"": ""Iced Strawberry Mango Cloud Nurdz Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",10.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Closed System
133,Cloud Nurdz,Iced Apple Watermelon Cloud Nurdz 3500,53033,$10.99 ,"\n\nDISPOSABLE VAPORIZER\n\n\nFlavor: The Iced Apple Watermelon Cloud Nurdz disposable vape blends juicy watermelon with a fresh green apple taste and a crispy ice for a smooth disposable vape flavor.\n\nE-liquid contents: 10mL\n\nNicotine Level: 50mg\n\nPuffs per Device: +3000\n\nBattery Capacity: 600mAh, Rechargeable via USB-C\n\n\n\nBrowse more disposable vape flavors\n\n"", ""category"": ""Disposables - Cloud Nurdz"", ""url"": ""https://mipod.com/products/iced-apple-watermelon-cloud-nurdz-3500"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-apple-watermelon_1024x1024.png?v=1672870995"", ""image"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-apple-watermelon_1024x1024.png?v=1672870995"", ""name"": ""Iced Apple Watermelon Cloud Nurdz Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",10.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Closed System
134,Cloud Nurdz,Iced Strawberry Lemon Cloud Nurdz 3500,53032,$10.99 ,"\n\nDISPOSABLE VAPORIZER\n\n\nFlavor: The Iced Strawberry Lemon Cloud Nurdz rechargeable vape is packed with a sweet, tangy and icy blend that gives a jolt to your taste buds. The perfect mix of strawberry, lemon and cool mint flavors.\n\nE-liquid contents: 10mL\n\nNicotine Level: 50mg\n\nPuffs per Device: +3000\n\nBattery Capacity: 600mAh, Rechargeable via USB-C\n\n\n\nBrowse more disposable vape flavors\n\n"", ""category"": ""Disposables - Cloud Nurdz"", ""url"": ""https://mipod.com/products/iced-strawberry-lemon-cloud-nurdz-3500"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-strawberry-lemon_1024x1024.png?v=1672871536"", ""image"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-strawberry-lemon_1024x1024.png?v=1672871536"", ""name"": ""Iced Strawberry Lemon Cloud Nurdz Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",10.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Closed System
135,Cloud Nurdz,Iced Blue Raspberry Peach Cloud Nurdz 3500,53031,$10.99 ,\n\n\n DISPOSABLE VAPORIZER\n \n \n Flavor: The,,,,,,,,False,,UNKNOWN,,False,False,,,,,,,,,True,0,0,Disposable System
136,Cloud Nurdz,Iced Melon Kiwi Cloud Nurdz 3500,53030,$10.99 ,"\n\n\n DISPOSABLE VAPORIZER\n \n \n Flavor: The Cloud Nurdz Iced Melon Kiwi disposable flavor adds a crisp ice to the exotic kiwi and melon fruit duo. Each Cloud Nurdz disposable contains 10ml of Cloud Nurdz vape juice and provides up to 3000 puffs.\n \n E-liquid contents: 10mL\n \n Nicotine Level: 50mg\n \n Puffs per Device: +3000\n \n Battery Capacity: 600mAh, Rechargeable via USB-C\n \n\n\nBrowse more disposable vape flavors\n\n"", ""category"": ""Disposables - Cloud Nurdz"", ""url"": ""https://mipod.com/products/iced-melon-kiwi-cloud-nurdz-3500"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-melon-kiwi_1024x1024.png?v=1672871374"", ""image"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-melon-kiwi_1024x1024.png?v=1672871374"", ""name"": ""Iced Melon Kiwi Cloud Nurdz Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",10.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Closed System
137,Cloud Nurdz,Iced Strawberry Grape Cloud Nurdz 3500,53029,$10.99 ,\n\n\n DISPOSABLE VAPORIZER\n \n \n Flavor: The,,,,,,,,False,,UNKNOWN,,False,False,,,,,,,,,True,0,0,Disposable System
138,Cloud Nurdz,Iced Apple Grape Cloud Nurdz 3500,53028,$10.99 ,"\n\n\n DISPOSABLE VAPORIZER\n \n \n Flavor: The Iced Apple Grape Cloud Nurdz disposable vape uses the popular Cloud Nurdz vape juice to provide an incredible disposable vape experience. It pairs a tart apple with fresh grape and icy mint for a crisp, all-day vape.\n \n E-liquid contents: 10mL\n \n Nicotine Level: 50mg\n \n Puffs per Device: +3000\n \n Battery Capacity: 600mAh, Rechargeable via USB-C\n \n\n\nBrowse more disposable vape flavors\n\n"", ""category"": ""Disposables - Cloud Nurdz"", ""url"": ""https://mipod.com/products/iced-apple-grape-cloud-nurdz-3500"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-apple-grape_1024x1024.png?v=1672870926"", ""image"": ""https://mipod.com/cdn/shop/products/cloud-nurdz_iced-apple-grape_1024x1024.png?v=1672870926"", ""name"": ""Iced Apple Grape Cloud Nurdz Disposable Vape"", ""width"": 1024, ""height"": 1024 } }",10.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Closed System
139,Flum,Vanilla Ice Cream FLUM Pebble,53104,$15.99 ,,14ml,6000,The Vanilla Ice Cream Flum Pebble disposable vape has creamy french vanilla ice cream taste. The ergonomic design of the Flum Pebble fits easily in your palm and is prefilled with 14ml of quality vape juice.,,,,,False,,50 MG,,False,False,600mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
140,Flum,Strawberry Coconut FLUM Pebble,53098,$15.99 ,,14ml,6000,"The Strawberry Coconut Flum Pebble vape has a sweet strawberry base that is perfectly complemented by a light coconut aroma. All Flum vapes provide up to 6,000 puffs with a rechargeable battery.",,,,,False,,50 MG,,False,False,600mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Unknown
141,Lost Mary,Watermelon Lost Mary MO5000,53137,$14.99 ,,10ml,5000,"The Watermelon Lost Mary MO5000 vape uses a premium mesh coil and top-notch juicy watermelon vape flavorings, blended with a fresh mint exhale to provide a tasty vape experience.",Mesh Coil,,,,False,,50 MG,,False,False,"500mAh, rechargeable via USB-C",,,,,,,,True,0,0,Unknown
142,Lost Mary,Mango Peach Watermelon Lost Mary MO5000,53139,$14.99 ,,10ml,5000,The popular Mango Peach Watermelon Lost Mary MO5000 flavor merges a delicious mango and ripe peach with a sweet and sour watermelon. A well-balanced fruit blend of sweet and tangy tastes.,Mesh Coil,,,,False,,50 MG,,False,False,"500mAh, rechargeable via USB-C",,,,,,,,False,0,0,Unknown
143,Lost Mary,Lemon Sparkling Wine Lost Mary MO5000,53141,$14.99 ,,10ml,5000,The Lemon Sparkling Wine Lost Mary MO5000 rechargeable vape uses a mix of sweet and sour lemon flavors with a refreshing icy mint on exhale.,Mesh Coil,,,,False,,50 MG,,False,False,"500mAh, rechargeable via USB-C",,,,,,,,True,0,0,Unknown
144,Lost Mary,Ginger Beer Lost Mary MO5000,53133,$14.99 ,,10ml,5000,"The Ginger Beer Lost Mary MO5000 uses a unique, lemon and ginger beer vape juice flavoring that adds a light ice on exhale.",Mesh Coil,,,,False,,50 MG,,False,False,"500mAh, rechargeable via USB-C",,,,,,,,True,0,0,Unknown
145,Smok,Blue Razz Ice Novo Bar AL6000,53175,$17.99 ,,13ml,6000,"The Blue Razz Ice Novo Bar AL6000 vape has a popular blue razz and mint blend that provides a sweet taste on inhale and a cool, refreshing taste on exhale.",,,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
146,Smok,Peach Ice Novo Bar AL6000,53177,$15.99 ,,13ml,6000,"The Peach Ice Novo Bar AL6000 vape mixes a crisp, icy mint with a sweet Georgia peach. All AL6000 vapes are designed by Smok, a leading vape manufacturer.",,,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
147,Smok,Lemonade Chill Novo Bar AL6000,53171,$15.99 ,,13ml,6000,"The Lemonade Chill Novo Bar AL6000 vape is a sweet, sour and icy vape that mixes a sugary lemonade with a crisp mint.",,,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
148,VaporLax,Red Grape by Draco,51331,$16.99 ,"\n\nFilled with 16mL in Every Device\nRed Grape: The VaporLax Draco Red Grape disposable contains a fresh purple grape that is masterfully merged with ripe strawberry flavor. It is rounded out by a refreshing hint of mint on exhale.\n\n\n\nE-Liquid Contents: 16mL\n\nNicotine Level: 50mg\n\nPuff Count: +6500\n\nRechargeable with Micro USB *Charger not Included\n\n\n\nBrowse more disposable vape flavors\n\n\n\n"", ""category"": ""Disposables - Draco"", ""url"": ""https://mipod.com/products/red-grape-by-draco"", ""image"": { ""@type"": ""ImageObject"", ""url"": ""https://mipod.com/cdn/shop/products/Draco_Red-Grape_b2c_1024x1024.png?v=1639170638"", ""image"": ""https://mipod.com/cdn/shop/products/Draco_Red-Grape_b2c_1024x1024.png?v=1639170638"", ""name"": """,16.0 mL,,,,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Disposable System
149,Flum,Blanco Grapefruit FLUM Pebble,53243,$15.99 ,,14ml,6000,"The Blanco Grapefruit Flum Pebble uses a tart, semi-sweet grape fruit flavoring that has a light ice on exhale.",,,,,False,,50 MG,,False,False,600mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
150,Flum,Arctic Icy FLUM Pebble,53240,$15.99 ,,14ml,6000,The Arctic Icy Flum Pebble disposable vape uses a blend of fresh citrus and wintry mint flavors for a refreshing vape experience.,,,,,False,,50 MG,,False,False,600mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
151,Lost Mary,Watermelon Lemon Lost Mary OS5000,53054,$12.99 ,,10ml,5000,The Watermelon Lemon Lost Mary OS5000 layers a sweet watermelon flavor on top of a light lemon zest.,Mesh Coil,,,,False,,40 MG,,False,False,"650mAh, rechargeable via USB-C",,,,,,,,False,0,0,Unknown
152,Lost Mary,Cherry Cola Lost Mary OS5000,53049,$12.99 ,,10ml,5000,The Cherry Cola Lost Mary vape blends a traditional cola refreshment taste with a dash of cherry flavoring.,Mesh Coil,,,,False,,50 MG,,False,False,"650mAh, rechargeable via USB-C",,,,,,,,False,0,0,Unknown
153,Lost Mary,Blue Razz Ice Lost Mary OS5000,52223,$12.99 ,,10ml,5000,The Blue Razz Ice Lost Mary OS5000 blends a confection inspired blue razz with a cool menthol on exhale.,Mesh Coil,,,,False,,50 MG,,False,False,"650mAh, rechargeable via USB-C",,,,,,,,True,0,0,Unknown
154,Lost Mary,Pineapple Apple Pear Lost Mary MO5000,53138,$14.99 ,,10ml,5000,"The Pineapple Apple Pear Lost Mary MO5000 vape is prefilled with a refreshing vape juice fruit blend of pineapple, apple and pear flavors. All MO5000 vapes come prefilled with 10ml of nic salt vape juice in 50mg (5%) nicotine strength.",Mesh Coil,,,,False,,50 MG,,False,False,"500mAh, rechargeable via USB-C",,,,,,,,False,0,0,Unknown
155,Funky Republic,Watermelon Ice Funky Republic Ti7000,53275,$13.99 ,,12.8ml,7000,The Watermelon Ice Funky Republic Ti7000 uses sweet and icy mix of luscious watermelon and cool mint flavors.,QUAQ Coil Technology,Watermelon Ice Funky Lands Ti7000,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,600mAh (Rechargeable via USB-C),,QUAQ Coil Technology,,,,,,True,0,0,Unknown
156,Funky Republic,Peach Pie Funky Republic Ti7000,53279,$13.99 ,,12.8ml,7000,Notes of ripe Georgia Peach and freshly-baked cobbler are extracted with every puff of the Peach Pie Funky Republic Ti7000.,QUAQ Coil Technology,,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,600mAh (Rechargeable via USB-C),,QUAQ Coil Technology,,,,,,False,0,0,Unknown
157,Funky Republic,Peach Mango Watermelon Funky Republic Ti7000,53270,$13.99 ,,12.8ml,7000,"The Peach Mango Watermelon Funky Republic disposable vape mixes a delightfully sweet trio of peach, mango, and watermelon fruit flavors.",QUAQ Coil Technology,Peach Mango Watermelon Funky Lands Ti7000,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,600mAh (Rechargeable via USB-C),,QUAQ Coil Technology,,,,,,False,0,0,Unknown
158,Funky Republic,Passion Fruit Kiwi Lime Funky Republic Ti7000,53278,$13.99 ,,12.8ml,7000,"The Passion Fruit Kiwi Lime Funky Republic vape flavor is a wild, funky mix of tropical passion fruit, sweet kiwi and tangy lime.",QUAQ Coil Technology,Passion Fruit Kiwi Lime Funky Lands Ti7000,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,600mAh (Rechargeable via USB-C),,QUAQ Coil Technology,,,,,,False,0,0,Unknown
159,Funky Republic,Pineapple Coconut Ice Funky Republic Ti7000,53271,$13.99 ,,12.8ml,7000,The Pineapple Coconut Ice Funky Republic Ti7000 vape swirls together a blend of tropical island flavors with a cool menthol on exhale. A refreshing all-day vape flavor.,QUAQ Coil Technology,Pineapple Coconut Ice Funky Lands Ti7000,,,True,"E-Liquid Indicator Light, Battery Indicator Light",40 MG,,False,False,600mAh (Rechargeable via USB-C),,QUAQ Coil Technology,,,,,,True,0,0,Unknown
160,Funky Republic,Rainbow Cloudz Funky Republic Ti7000,53272,$13.99 ,,12.8ml,7000,"The Rainbow Cloudz Funky Republic Ti7000 uses a mix of confectionary fruit flavors that has notes of berry, citrus and other fruits.",QUAQ Coil Technology,Rainbow Cloudz Funky Land Ti7000,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,600mAh (Rechargeable via USB-C),,QUAQ Coil Technology,,,,,,False,0,0,Unknown
161,Funky Republic,Tropical Rainbow Blast Funky Republic Ti7000,53274,$13.99 ,,12.8ml,7000,The Tropical Rainbow Blast Funky Republic Ti7000 disposable vape provides tons of tropical fruit flavor with a light mint taste on exhale.,QUAQ Coil Technology,Tropical Rainbow Blast Funky Lands Ti7000,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,600mAh (Rechargeable via USB-C),,QUAQ Coil Technology,,,,,,True,0,0,Unknown
162,Smok,Sundown Novo Bar AL6000,53348,$15.99 ,,13ml,6000,"The Sundown Novo Bar AL6000 vape uses a mellow mix of citrus flavors that are complimented by a light ""ice"" on exhale.",,,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
163,Smok,Mr. Pepper Novo Bar AL6000,53337,$15.99 ,,13ml,6000,"The Mr Pepper Novo Bar AL6000 vape uses a popular soda flavor that incorporates hints of cola, cherry, vanilla and raspberry flavors.",,,,,True,"E-Liquid Indicator Light, Battery Indicator Light",50 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,False,0,0,Unknown
164,Air Bar Disposables,Strawberry Mango Air Bar NEX,53193,$11.99 ,,15ml,6500,The Strawberry Mango Air Bar Nex vape pairs a long-lasting device with a succulent mango and ripe strawberry vape juice mix.,Mesh Coil,,,,False,,50 MG,,False,False,"650mAh, rechargeable via USB-C *Charger not Included",,,,,,,,False,0,0,Unknown
165,Air Bar Disposables,Strawberry Kiwi Air Bar NEX,53190,$11.99 ,,15ml,6500,The Strawberry Kiwi Air Bar Nex uses the popular pairing of ripe strawberry and kiwi flavors for the ultimate vape experience.,Mesh Coil,,,,False,,50 MG,,False,False,"650mAh, rechargeable via USB-C *Charger not Included",,,,,,,,False,0,0,Unknown
166,Air Bar Disposables,Pineapple Mango Air Bar NEX,53199,$11.99 ,,15ml,6500,The Pineapple Mango Air Bar Nex uses a tasty fruit combo that pairs a ripe mango with a deliciously-sweet Hawaiian pineapple.,Mesh Coil,,,,False,,50 MG,,False,False,"650mAh, rechargeable via USB-C *Charger not Included",,,,,,,,False,0,0,Unknown
167,Air Bar Disposables,Melon Kiwi Air Bar NEX,53191,$11.99 ,,15ml,6500,The Melon Kiwi Air Bar Nex provides a fusion of tropical kiwi and delicious melon flavors in every puff.,Mesh Coil,,,,False,,50 MG,,False,False,"650mAh, rechargeable via USB-C *Charger not Included",,,,,,,,False,0,0,Unknown
168,Air Bar Disposables,Blueberry Grape Mint Air Bar NEX,53197,$11.99 ,,15ml,6500,"The Blueberry Grape Mint Air Bar Nex merges ripe blueberries, plump grapes and a refreshing mint into a tasty all-day vape flavor.",Mesh Coil,,,,False,,50 MG,,False,False,"650mAh, rechargeable via USB-C *Charger not Included",,,,,,,,True,0,0,Unknown
169,Air Bar Disposables,Black Ice Air Bar Mini,53223,$9.99 ,,5ml,2000,The Blackberry Ice Air Bar Mini vape blends a light blackberry with a crisp minty finish.,Mesh Coil,,,,False,,50 MG,,False,False,600mAh,,,,,,,,True,0,0,Unknown
170,Lost Vape,Pineapple Ice Orion Bar 7500,53340,$9.99 ,,18ml,7500,The Pineapple Ice Orion Bar vape adds a crisp mint to a tropical pineapple taste.,,,,,False,,50 MG,,False,False,650mAh (Rechargeable via USB-C),,,,,,,,True,0,0,Unknown
171,Funky Republic,Pomelo Pearl Grape Funky Republic Ti7000,53281,$13.99 ,,12.8ml,7000,"The Pomelo Pearl Grape Funky Republic flavor merges grape with a juicy, floral pomelo taste.",QUAQ Coil Technology,Pomelo Pearl Grape Funky Lands Ti7000,,,True,"E-Liquid Indicator Light, Battery Indicator Light",40 MG,,False,False,600mAh (Rechargeable via USB-C),,QUAQ Coil Technology,,,,,,False,0,0,Unknown
172,Funky Republic,Tropical Island Funky Republic Ti7000,53283,$13.99 ,,12.8ml,7000,"The Tropical Island Funky Republic Ti7000 uses a combination of mango, peach and other tropical fruit flavors for a tasty vape experience.",QUAQ Coil Technology,Tropical Island Funky Lands Ti7000,,,True,"E-Liquid Indicator Light, Battery Indicator Light",40 MG,,False,False,600mAh (Rechargeable via USB-C),,QUAQ Coil Technology,,,,,,False,0,0,Unknown
173,EBCREATE,Beach Day BC5000,52991,$12.99 ,,,5000,The Beach Day BC5000 flavor mixes an exotic blackcurrant taste with a flavorful orange taste. This one-of-a-kind vape flavor is only available in EBDesign disposables.,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Unknown
174,EBCREATE,Berry Mix BC5000,52992,$12.99 ,,,5000,"The Berry Mix BC5000 (formerly Crazi Berry) vape flavor swirls together a blend of raspberry, dragon fruit and cranberry for a unique disposable vape taste.",,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Unknown
175,EBCREATE,Sunset BC5000,52988,$12.99 ,,,5000,"The Sunset EBDesigns blends a mix of tropical orange juice with equal parts of peach, mango and strawberry.",,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Unknown
176,EBCREATE,Cranberry Puncher BC5000,52993,$12.99 ,,,5000,The Cranberry Puncher (formerly Cranberry Punch) BC5000 vape adds a dash of tart cranberry taste to a sweet fruit punch flavor. The perfect balance of sweet and tart in every puff.,,,,,False,,50 MG,,False,False,,,,,,,,,False,0,0,Unknown
177,EBCREATE,Triple Berry Ice BC5000,51502,$12.99 ,,,5000,"The Triple Berry Ice BC5000 disposable vape mixes blueberry, raspberry and strawberry flavors into one fantastic berry vape. Triple Berry Ice also adds in a hint of icy mint for a cooling exhale in each puff.",,,,,False,,50 MG,,False,False,,,,,,,,,True,0,0,Unknown
178,Posh Disposables,Blue Raspberry Ice Posh Max 2.0,53440,$15.99 ,,14ml,5200,"The Blue Raspberry Ice Posh Max 2.0 disposable vape is a popular Posh flavor that blends raspberry, blueberry and fresh mint flavors.",,,,,False,,LEVELS,,False,False,650mAh (Rechargeable via USB-C),,,,,0 MG,50 MG,,True,0*,0,Unknown
